Food_Name,Calories_kcal,Carbs_g,Protein_g,Fat_g,Sodium_mg,Fiber_g,Saturated_Fat_g,Meal_Type
chocolate cake with chocolate frosting,537,72.9,4.8,27.7,500.0,3.0,8.2,Dinner
cheese coffeecake,258,33.7,5.3,11.6,300.0,0.8,4.1,Lunch
vanilla cream pie,350,41.1,6.0,18.1,300.0,0.8,5.1,Lunch
pineapple cake,367,58.1,4.0,13.9,400.0,0.9,3.4,Dinner
peach pie,262,38.5,2.2,11.7,300.0,0.9,1.8,Lunch
fruit coffeecake,156,25.8,2.6,5.1,200.0,1.3,1.2,Snack
pound cake,116,14.6,1.7,6.0,100.0,0.2,3.5,Breakfast
pound cake bread,215,28.2,3.9,9.6,200.0,0.9,1.7,Snack
white cake,264,42.3,4.0,9.2,200.0,0.6,2.4,Breakfast
coffeecake with chocolate frosting,298,48.4,4.5,9.7,300.0,1.8,2.5,Breakfast
popcorn cake,38,8.0,1.0,0.3,50.0,0.3,0.074,Snack
banana cream pie,3190,390.2,52.2,161.3,2800.0,8.3,44.6,Snack
baked apple pie mcdonalds,91,12.3,0.9,4.4,76.0,0.6,1.1,Snack
sponge cake,187,36.4,4.6,2.7,100.0,0.0,0.8,Snack
yellow cake,245,36.0,3.6,9.9,200.0,0.5,2.7,Dinner
shortcake,98,13.7,1.7,4.0,100.0,0.0,1.1,Lunch
cherry pie,486,69.3,5.0,22.0,300.0,0.0,5.4,Breakfast
dutch apple pie,397,61.0,3.0,15.8,300.0,2.2,3.2,Snack
chocolate cake,352,50.7,5.0,14.3,300.0,1.5,5.2,Snack
marshmallow,64,16.3,0.4,0.033,39.0,0.013,0.045,Snack
sugar apple,72,18.2,1.6,0.2,45.0,3.4,0.009,Dinner
toffee,67,7.8,0.1,3.9,44.0,0.0,2.5,Snack
vanilla fudge with nuts,123,21.1,0.8,3.9,75.0,0.3,1.1,Snack
peanuts chocolate coated,21,2.0,0.5,1.3,63.0,0.2,0.6,Snack
caramel with nuts chocolate coated,66,8.5,1.3,2.9,41.0,0.6,0.7,Lunch
gingerbread,263,36.4,2.9,12.1,200.0,0.0,3.1,Dinner
rolo nestle,24,0.2,0.009,1.0,0.0,0.0,0.6,Snack
vanilla fudge,108,23.2,0.3,1.5,40.0,0.0,1.0,Breakfast
halavah,328,42.3,8.7,15.1,100.0,3.2,2.9,Breakfast
praline,189,23.2,1.3,10.1,16.0,1.4,0.9,Breakfast
fruit juice bar,67,15.6,0.9,0.089,11.0,0.8,0.0,Dinner
peanut brittle,138,20.2,2.1,5.4,100.0,0.7,1.2,Dinner
butterscotch,21,4.8,0.079,0.2,39.0,0.0,0.1,Breakfast
chocolate coffee beans,155,15.6,2.1,9.4,6.0,1.6,5.1,Snack
nougat with almonds,56,12.9,0.5,0.2,61.0,0.5,0.2,Dinner
carob,135,14.1,2.0,7.8,15.0,1.0,7.3,Breakfast
peanut butter fudge,62,12.4,0.6,1.1,85.0,0.1,0.3,Breakfast
sugar coated almonds,17,2.4,0.4,0.6,21.0,0.013,0.016,Snack
chocolate coated marshmallow,118,19.0,1.1,4.7,2.0,0.6,1.3,Lunch
raisins chocolate coated,390,68.4,4.1,14.8,21.0,3.1,10.3,Dinner
chewing gum sugarless,5,1.9,0.0,0.013,1.0,0.078,0.09,Snack
chewing gum,11,2.9,0.0,0.032,83.0,0.012,0.058,Breakfast
chocolate syrup,109,25.4,0.8,0.4,61.0,1.0,0.2,Breakfast
chocolate fudge syrup,67,12.0,0.9,1.7,84.0,0.5,0.8,Snack
m ms milk chocolate mars,207,29.9,1.8,8.9,18.0,1.2,5.5,Dinner
milk chocolate with almonds,216,21.9,3.7,14.1,51.0,2.5,7.3,Lunch
chocolate fudge,70,13.0,0.4,1.8,32.0,0.3,1.1,Lunch
milk chocolate with rice cereal,0,0.0,0.0,0.0,0.0,0.0,0.0,Breakfast
m ms peanut chocolate mars,93,10.9,1.7,4.7,17.0,0.7,1.8,Dinner
dark chocolate,165,18.0,1.5,9.7,13.0,2.2,5.7,Lunch
chocolate semisweet,806,107.4,7.1,50.4,42.0,9.9,29.8,Dinner
after eight mints nestle,36,6.7,0.1,1.0,25.0,0.2,0.7,Dinner
milk chocolate,37,4.2,0.5,2.1,45.0,0.2,1.3,Breakfast
white chocolate,162,17.8,1.8,9.6,9.0,0.081,5.8,Lunch
chocolate,208,24.8,1.6,14.0,1.0,2.3,8.2,Snack
twix mars,146,18.8,1.4,7.2,64.0,0.3,5.5,Breakfast
kit kat nestle,62,7.6,0.7,3.3,22.0,0.2,2.2,Lunch
snickers mars,280,35.1,4.3,13.6,100.0,1.3,5.2,Lunch
milky way mars,264,41.3,2.3,10.0,21.0,0.6,7.0,Lunch
clif bar,235,44.5,10.0,4.0,100.0,5.0,1.0,Lunch
gum drops,18,4.4,0.0,0.042,8.0,0.0,0.05,Lunch
skittles wild berry mars,249,56.3,0.1,2.6,36.0,0.0,2.6,Dinner
skittles original mars,251,56.3,0.1,2.7,25.0,0.0,2.6,Breakfast
skittles tropical mars,251,56.3,0.1,2.7,95.0,0.0,0.0,Dinner
fruit leather,52,12.0,0.029,0.4,0.0,0.0,0.025,Snack
taffy,60,13.7,0.087,0.5,28.0,0.0,0.3,Lunch
eisbonbons mac iver,23,0.0,0.0,0.0,0.0,0.0,0.0,Breakfast
caramels,39,7.8,0.5,0.8,15.0,0.0,0.3,Lunch
hard candy,24,5.9,0.0,0.067,21.0,0.0,0.0,Breakfast
jellybeans,4,1.0,0.0,0.043,76.0,0.083,0.0,Dinner
jellies,56,14.7,0.005,0.069,16.0,0.2,0.033,Breakfast
wheat germ toasted,115,14.9,8.7,3.2,60.0,4.5,0.5,Snack
crispy brown rice,124,27.5,2.3,1.1,86.0,2.3,0.2,Snack
bran flakes asda,109,0.2,0.0,0.6,0.0,0.0,0.2,Breakfast
amaranth cooked,251,46.0,9.3,3.9,95.0,5.2,0.0,Breakfast
triticale,645,138.5,25.1,4.0,49.0,0.0,0.7,Breakfast
barley raw,42,9.3,1.2,0.1,16.0,1.9,0.041,Breakfast
bulgur dry,171,37.9,6.1,0.7,71.0,9.2,0.1,Snack
cottonseed kernels roasted,754,32.6,48.6,54.1,73.0,8.2,14.5,Lunch
rice bran,373,58.6,15.8,24.6,36.0,24.8,4.9,Breakfast
chaptti roti indian bread,491,0.089,7.0,2.5,0.0,0.0,2.5,Breakfast
quinoa cooked,222,39.4,8.1,3.6,26.0,5.2,0.4,Snack
dar vida swiss original,116,0.5,0.0,3.1,0.0,0.0,0.3,Snack
teff cooked,255,50.0,9.8,1.6,53.0,7.1,0.0,Dinner
couscous dry,650,134.0,22.1,1.1,31.0,8.7,0.2,Breakfast
weetabix weetabix,2078,0.0,0.0,11.5,0.0,0.0,396.1,Dinner
oat bran cooked,88,25.1,7.0,1.9,82.0,5.7,0.4,Snack
buckwheat cooked,155,33.5,5.7,1.0,53.0,4.5,0.2,Snack
millet puffed,74,16.8,2.7,0.7,76.0,0.6,0.1,Lunch
oat bran raw,23,4.9,1.3,0.5,36.0,1.2,0.077,Breakfast
popcorn oil popped,64,5.0,0.8,4.8,18.0,0.9,0.8,Dinner
kamut cooked,251,52.4,11.1,1.6,38.0,6.7,0.0,Snack
wheat bran,125,37.4,9.0,2.5,15.0,24.8,0.4,Snack
cheese popcorn,58,5.7,1.0,3.7,2.0,1.1,0.7,Dinner
raisin bran crunch kelloggs,90,21.2,1.9,0.5,0.0,0.0,0.0,Lunch
couscous cooked,176,36.5,6.0,0.3,54.0,2.2,0.091,Snack
multigrain cheerios general mills,4,1.0,0.038,0.005,0.0,0.1,0.0,Breakfast
bulgur cooked,151,33.8,5.6,0.4,49.0,8.2,0.053,Snack
popcorn air popped,31,6.2,1.0,0.4,16.0,1.2,0.011,Breakfast
teff raw,708,141.1,25.7,4.6,53.0,15.4,0.9,Dinner
spelt cooked,246,51.3,10.7,1.6,41.0,7.6,0.0,Breakfast
millet raw,756,145.7,22.0,8.4,13.0,17.0,1.4,Dinner
popcorn unpopped,106,20.9,3.1,1.2,1.0,3.6,0.2,Breakfast
whole wheat cooked,150,33.2,4.8,1.0,600.0,3.9,0.1,Dinner
wheat sprouted,214,45.9,8.1,1.4,26.0,1.2,0.2,Breakfast
whole wheat dry,96,21.1,3.1,0.6,36.0,2.7,0.031,Lunch
caramel popcorn,122,22.4,1.1,3.6,69.0,1.5,1.0,Breakfast
wheat puffed,44,9.6,1.8,0.1,30.0,0.5,0.025,Breakfast
roggenmischbrot sonnenblumenkerne aldi,82,0.0,0.0,3.1,0.0,0.0,9.9,Lunch
wheat germ,112,16.1,7.2,3.0,37.0,4.1,0.5,Snack
microwave popcorn,465,49.8,7.3,26.3,600.0,8.7,12.7,Snack
millet cooked,207,41.2,6.1,1.7,46.0,2.3,0.3,Breakfast
kamut raw,627,130.9,27.3,4.1,12.0,16.9,0.4,Lunch
wheat durum,651,136.6,26.3,4.7,32.0,0.0,0.9,Breakfast
sorghum,651,143.3,21.7,6.3,45.0,12.1,0.9,Dinner
white wheat,657,145.7,21.7,3.3,94.0,23.4,0.5,Dinner
rye,571,128.2,17.5,2.8,78.0,25.5,0.3,Breakfast
spelt raw,588,122.1,25.4,4.2,76.0,18.6,0.7,Snack
buckwheat raw,41,8.6,1.6,0.4,54.0,1.2,0.007,Snack
honey cereali general mills,104,3.0,0.0,2.0,0.0,0.0,21.2,Breakfast
barley cooked,193,44.3,3.5,0.7,64.0,6.0,0.1,Breakfast
oats,39,6.6,1.7,0.7,74.0,1.1,0.1,Dinner
amaranth raw,37,6.5,1.4,0.7,77.0,0.7,0.1,Snack
semolina,601,121.6,21.2,1.8,97.0,6.5,0.3,Breakfast
quinoa dry,221,38.5,8.5,3.6,26.0,4.2,0.4,Dinner
wheat shredded,155,36.2,5.2,1.0,86.0,5.5,0.2,Snack
cattail,5,1.0,0.2,0.0,31.0,0.9,0.0,Lunch
peanut granola bar,116,15.0,2.4,5.7,6.0,0.7,0.8,Dinner
vanilla bluberry bar kind,49,0.9,0.0,1.4,0.0,0.0,8.4,Snack
coconut granola bar,150,15.6,1.5,9.1,6.0,1.8,6.4,Snack
almond granola bar,119,14.9,1.8,6.1,67.0,1.2,3.0,Dinner
chocolate chip granola bar,105,17.3,1.8,3.9,62.0,1.1,2.7,Lunch
fruit granola bar,82,18.6,1.4,0.2,28.0,1.8,0.034,Dinner
granola bar,99,13.5,2.1,4.2,84.0,1.1,0.5,Snack
peanut bar,209,19.0,6.2,13.5,59.0,1.6,1.9,Breakfast
milk cereal bar,103,18.0,1.6,2.7,87.0,0.1,2.3,Breakfast
almond rice bar,128,18.1,2.0,5.7,0.0,1.0,1.1,Dinner
fruit nut squares,55,10.3,0.3,1.3,86.0,0.3,0.1,Snack
rice wheat cereal bar,90,16.0,2.0,2.0,100.0,0.4,0.0,Breakfast
crisped rice bar,113,20.4,1.4,3.8,10.0,0.6,1.5,Snack
brown rice raw,685,142.9,14.7,5.4,86.0,6.5,1.1,Dinner
rice pilaf cooked,352,61.1,7.0,8.8,1000.0,1.4,1.8,Breakfast
beef flavored rice raw,657,139.1,19.8,2.3,2400.0,2.9,0.0,Snack
wild rice cooked,166,35.0,6.5,0.6,8.0,3.0,0.078,Breakfast
wild rice raw,571,119.8,23.6,1.7,51.0,9.9,0.2,Dinner
congee with pork shrimp and squid plus egg,178,0.0,0.0,0.3,0.0,0.0,39.3,Snack
white rice pasta cooked,246,43.3,5.1,5.7,1100.0,5.1,1.1,Breakfast
chicken flavored rice raw,601,127.3,17.9,2.2,2100.0,2.0,0.7,Dinner
instant white rice raw,361,78.2,7.4,0.9,39.0,1.8,0.1,Breakfast
rice crisps,107,24.1,1.8,0.4,200.0,0.2,0.065,Breakfast
parboiled white rice raw,692,149.6,13.9,1.9,55.0,3.3,0.5,Lunch
instant white rice cooked,193,41.4,3.6,0.8,1.0,1.0,0.088,Lunch
rice pilaf raw,732,155.7,21.3,2.8,2700.0,2.4,0.0,Dinner
rice cracker cake,111,23.0,2.0,1.2,97.0,1.2,0.2,Lunch
parboiled white rice cooked,194,41.2,4.6,0.6,88.0,1.4,0.1,Dinner
white rice steamed,199,44.7,4.2,0.4,9.0,1.2,0.0,Lunch
brown rice cake,35,7.3,0.7,0.3,24.0,0.4,0.062,Breakfast
glutinous white rice raw,685,151.1,12.6,1.0,15.0,5.2,0.2,Dinner
white rice pasta raw,600,122.8,15.3,4.0,3000.0,0.0,0.7,Dinner
glutinous white rice cooked,169,36.7,3.5,0.3,27.0,1.7,0.056,Breakfast
brown rice cooked,218,45.8,4.5,1.6,86.0,3.5,0.3,Dinner
beef flavored rice cooked,319,54.4,7.0,7.9,900.0,1.5,2.1,Dinner
white rice cooked,205,44.5,4.3,0.4,77.0,0.6,0.1,Lunch
chicken flavored rice cooked,317,54.8,6.2,8.0,900.0,1.6,1.7,Dinner
white rice raw,675,147.9,13.2,1.2,81.0,2.4,0.3,Snack
cheese imitation,441,1.1,28.3,36.2,800.0,0.0,6.6,Breakfast
cheshire cheese,110,1.4,6.6,8.7,200.0,0.0,5.5,Lunch
monterey cheese,421,0.8,27.7,34.2,700.0,0.0,21.5,Lunch
edam cheese,107,0.4,7.5,8.3,300.0,0.0,5.6,Snack
fontina cheese,420,1.7,27.6,33.6,900.0,0.0,20.7,Breakfast
monterey cheese low fat,350,0.8,31.9,24.4,600.0,0.0,15.9,Breakfast
colby cheese,445,2.9,26.8,36.3,700.0,0.0,22.8,Lunch
american cheese,93,0.9,4.5,7.9,400.0,0.0,4.5,Dinner
blue cheese,106,0.7,6.4,8.6,300.0,0.0,5.6,Lunch
nectarine,66,15.8,1.6,0.5,0.0,2.6,0.066,Breakfast
kiwifruit gold,51,12.8,0.8,0.2,46.0,1.1,0.008,Snack
prickly pear raw,8,1.9,0.001,0.072,65.0,1.0,0.0,Lunch
pineapple,45,11.8,0.5,0.1,99.0,1.3,0.074,Breakfast
rowan,253,54.5,5.2,4.6,83.0,14.1,0.6,Lunch
muscadine grapes,3,0.8,0.014,0.056,24.0,0.2,0.0,Dinner
heidelbeeren jutro,17,0.4,0.0,0.2,0.0,0.0,0.039,Lunch
prunes stewed,316,83.2,3.4,0.7,39.0,0.0,0.085,Lunch
tangerine,40,10.1,0.6,0.2,56.0,1.4,0.07,Breakfast
prunes,237,62.3,2.6,0.5,76.0,0.0,0.057,Breakfast
lemon peel,1,0.3,0.032,0.002,28.0,0.2,0.057,Breakfast
banana,134,34.3,1.6,0.5,55.0,3.9,0.2,Lunch
raspberries,5,1.2,0.1,0.034,54.0,0.7,0.005,Dinner
apricot,17,3.9,0.5,0.1,20.0,0.7,0.03,Snack
strawberry guava,4,1.0,0.01,0.008,59.0,0.3,0.039,Snack
kiwifruit green,42,10.1,0.8,0.4,96.0,2.1,0.095,Breakfast
figs,37,9.6,0.4,0.2,49.0,1.5,0.068,Breakfast
clementine,35,8.9,0.6,0.1,44.0,1.3,0.0,Lunch
orange,86,21.6,1.7,0.2,0.0,4.4,0.008,Snack
bartlett pear,112,26.6,0.7,0.3,47.0,5.5,0.0,Breakfast
red white currants,63,15.5,1.6,0.2,56.0,4.8,0.043,Dinner
blueberries,84,21.4,1.1,0.5,15.0,3.6,0.047,Dinner
mulberries,6,1.5,0.2,0.049,21.0,0.3,0.004,Breakfast
java plum,2,0.5,0.034,0.029,63.0,0.0,0.0,Breakfast
prune puree,46,11.7,0.4,0.02,36.0,0.6,0.038,Snack
applesauce,102,27.5,0.4,0.2,31.0,2.7,0.028,Snack
blackberries raw,62,13.8,2.0,0.7,50.0,7.6,0.076,Lunch
plum,30,7.5,0.5,0.2,0.0,0.9,0.062,Snack
american grapes,2,0.4,0.035,0.087,56.0,0.09,0.029,Dinner
peach,59,14.3,1.4,0.4,0.0,2.3,0.034,Dinner
honeydew melon,64,16.1,1.0,0.2,62.0,1.4,0.055,Breakfast
yellow plantain fried,399,68.9,2.4,12.7,79.0,5.4,3.1,Snack
rose hips,206,48.5,2.0,0.4,35.0,30.6,0.0,Lunch
lemons,17,5.4,0.6,0.2,45.0,1.6,0.063,Dinner
lime,20,7.1,0.5,0.1,82.0,1.9,0.087,Dinner
pomegranate,117,26.4,2.4,1.6,42.0,5.6,0.2,Lunch
gooseberries,66,15.3,1.3,0.9,74.0,6.5,0.001,Lunch
asian pear,51,13.0,0.6,0.3,0.0,4.4,0.009,Dinner
abiyuch,157,40.1,3.4,0.2,93.0,12.1,0.065,Dinner
horned melon kiwano,92,15.8,3.7,2.6,95.0,0.0,0.0,Lunch
fruit walnut salad mcdonalds,312,43.8,4.8,13.3,17.0,0.0,1.8,Dinner
grapefruit,53,13.3,1.0,0.2,0.0,2.0,0.092,Breakfast
japanese persimmon,118,31.2,1.0,0.3,67.0,6.0,0.089,Breakfast
wild raspberries,81,18.0,1.5,0.4,90.0,9.8,0.0,Lunch
pink lady apple,18,3.9,0.1,0.1,0.0,0.0,0.0,Snack
maraschino cherries,8,2.1,0.06,0.083,72.0,0.2,0.06,Lunch
black currants,71,17.2,1.6,0.5,75.0,0.0,0.019,Lunch
plantain cooked,179,48.0,1.2,0.3,79.0,3.5,0.1,Snack
crab apple,84,21.9,0.4,0.3,30.0,0.0,0.064,Snack
pom potes materne,19,0.2,0.0,0.2,0.0,0.0,0.2,Snack
apple,95,25.1,0.5,0.3,62.0,4.4,0.043,Breakfast
cantaloupe melon,60,14.4,1.5,0.3,87.0,1.6,0.071,Dinner
prickly pear cooked,7,1.6,0.091,0.043,0.0,0.0,0.0,Breakfast
guava,37,7.9,1.4,0.5,56.0,3.0,0.1,Dinner
strawberries,4,0.9,0.01,0.069,68.0,0.2,0.057,Breakfast
japanese persimmon dried,93,25.0,0.5,0.2,2.0,4.9,0.0,Dinner
watermelon,86,21.6,1.7,0.4,43.0,1.1,0.026,Breakfast
elderberries,106,26.7,1.0,0.7,42.0,10.2,0.005,Snack
kumquat,13,3.0,0.4,0.2,18.0,1.2,0.063,Lunch
orange peel,6,1.5,0.093,0.017,23.0,0.6,0.046,Breakfast
pokeberry shoots cooked,33,5.1,3.8,0.7,400.0,2.5,0.0,Dinner
breadfruit,227,59.7,2.4,0.5,57.0,10.8,0.1,Snack
pear,101,27.1,0.6,0.2,70.0,5.5,0.019,Breakfast
sour cherries,52,12.5,1.0,0.3,71.0,1.6,0.069,Breakfast
plantain raw,218,57.1,2.3,0.6,82.0,3.0,0.3,Snack
blackberries frozen,97,23.7,1.8,0.6,7.0,7.6,0.017,Breakfast
cherries,5,1.3,0.068,0.056,0.0,0.2,0.053,Lunch
plantain fried,16,2.6,0.023,0.6,65.0,0.2,0.2,Breakfast
carambola starfruit,26,5.7,0.9,0.3,47.0,2.4,0.077,Lunch
chayote cooked,35,7.2,1.0,0.8,400.0,4.5,0.1,Lunch
apple dippers mcdonalds,33,8.2,0.0,0.0,0.0,0.0,0.0,Snack
white grapefruit,78,19.8,1.6,0.2,0.0,2.6,0.072,Breakfast
cherimoya,176,41.6,3.7,1.6,61.0,7.1,0.5,Snack
melon balls,57,13.7,1.5,0.4,22.0,1.2,0.1,Breakfast
golden delicious apple,62,14.8,0.3,0.2,34.0,2.6,0.0,Breakfast
pokeberry shoots raw,37,5.9,4.2,0.6,50.0,2.7,0.0,Dinner
cranberries,21,5.4,0.2,0.014,30.0,1.6,0.089,Breakfast
quince,52,14.1,0.4,0.012,81.0,1.7,0.049,Snack
chayote raw,25,6.0,1.1,0.2,94.0,2.2,0.027,Lunch
orange with peel,100,24.6,2.1,0.5,28.0,7.2,0.036,Breakfast
chokecherries,249,51.8,4.7,2.6,78.0,30.8,0.0,Dinner
mango,202,50.3,2.8,1.3,27.0,5.4,0.3,Snack
wild plum,147,35.3,0.7,0.3,47.0,9.7,0.0,Breakfast
jeijoa,148,37.0,1.7,1.0,41.0,15.6,0.3,Snack
groundcherries,74,15.7,2.7,1.0,0.0,0.0,0.0,Dinner
pesca,30,0.0,0.0,0.1,0.0,0.0,6.1,Dinner
persimmon,32,8.4,0.2,0.1,24.0,0.0,0.0,Snack
grapes,3,0.9,0.045,0.044,9.0,0.087,0.041,Breakfast
rambutan canned,175,44.7,1.4,0.4,51.0,1.9,0.0,Lunch
figs canned,14,3.8,0.1,0.039,49.0,0.6,0.066,Dinner
prunes canned,246,65.1,2.0,0.5,44.0,8.9,0.072,Breakfast
pineapples canned,28,7.4,0.2,0.05,60.0,0.4,0.079,Breakfast
prune plums canned,27,7.0,0.2,0.075,55.0,0.4,0.006,Lunch
tangerines canned,92,23.8,1.5,0.1,22.0,1.7,0.087,Dinner
fruit cocktail canned,109,28.1,1.1,0.053,59.0,2.4,0.03,Dinner
sour cherries canned,189,48.6,1.9,0.3,73.0,2.0,0.007,Breakfast
mangosteen canned,143,35.1,0.8,1.1,24.0,3.5,0.0,Breakfast
apricot juice,117,30.1,1.5,0.07,24.0,3.9,0.008,Lunch
strawberries canned,234,59.8,1.4,0.7,24.0,4.3,0.064,Lunch
peach canned,110,28.9,1.6,0.094,6.0,3.3,0.03,Dinner
fruit salad canned,125,32.5,1.3,0.008,69.0,2.5,0.08,Snack
gooseberries canned,184,47.3,1.6,0.5,97.0,6.0,0.004,Dinner
grapefruit canned,88,22.3,1.4,0.2,91.0,1.0,0.09,Breakfast
pear canned,38,9.8,0.3,0.001,88.0,1.2,0.099,Dinner
raspberries canned,233,59.8,2.1,0.3,13.0,8.4,0.081,Snack
papaya canned,80,21.8,0.001,0.2,75.0,0.6,0.1,Lunch
grapes canned,98,25.2,1.2,0.3,22.0,1.5,0.034,Snack
apple dried,145,39.1,0.6,0.2,24.0,5.1,0.088,Snack
peach dried,199,50.8,3.0,0.6,59.0,7.0,0.055,Snack
plantain chips,150,18.1,0.6,8.4,39.0,1.0,2.4,Lunch
golden raisins,498,131.2,5.6,0.8,1.0,6.6,0.2,Snack
raisins seeded,488,129.5,4.2,0.9,98.0,11.2,0.3,Snack
zante currants dried,408,106.7,5.9,0.4,67.0,9.8,0.009,Snack
pear dried,94,25.1,0.7,0.2,74.0,2.7,0.003,Breakfast
raisins,90,23.8,1.0,0.056,25.0,1.4,0.005,Snack
prune plums dried,308,81.5,2.7,0.5,11.0,9.4,0.01,Lunch
cranberries dried,370,98.8,0.053,1.6,37.0,6.8,0.1,Snack
figs dried,21,5.4,0.3,0.008,91.0,0.8,0.014,Snack
longans dried,5,1.3,0.027,0.091,18.0,0.0,0.0,Lunch
banana chips,147,16.5,0.7,9.5,99.0,2.2,8.2,Snack
lychee dried,7,1.8,0.01,0.003,49.0,0.1,0.076,Lunch
apricot dried,17,4.4,0.2,0.015,66.0,0.5,0.02,Snack
longan,2,0.5,0.009,0.076,0.0,0.071,0.0,Lunch
mamey sapote,217,56.2,2.5,0.8,8.0,9.5,0.3,Snack
waxgourd cooked,19,4.3,0.7,0.4,600.0,1.8,0.026,Snack
jackfruit,33,8.1,0.6,0.2,94.0,0.5,0.071,Breakfast
loquats,9,2.4,0.09,0.071,53.0,0.3,0.085,Breakfast
mammy apple mamey,431,105.8,4.2,4.2,100.0,25.4,1.2,Snack
nance,82,19.0,0.7,1.3,39.0,8.4,0.0,Snack
coconut whole coconut,3336,0.0,0.0,71.5,0.0,0.0,672.0,Dinner
prickly pear,42,9.9,0.8,0.5,44.0,3.7,0.014,Lunch
lychee,6,1.6,0.024,0.016,29.0,0.1,0.06,Dinner
naranjilla lulo pulp,30,7.1,0.5,0.3,44.0,1.3,0.0,Breakfast
coconut meat dried,187,6.7,1.9,18.3,58.0,4.6,16.2,Breakfast
waxgourd raw,17,4.0,0.5,0.3,100.0,3.8,0.036,Breakfast
surinam cherry pitanga,2,0.5,0.045,0.059,100.0,0.0,0.0,Breakfast
passion fruit,17,4.2,0.4,0.1,72.0,1.9,0.098,Snack
sapodilla,141,33.9,0.7,1.9,80.0,9.0,0.3,Breakfast
pummelo,48,12.0,1.0,0.06,94.0,1.3,0.0,Snack
coconut meat,1405,60.5,13.2,133.0,22.0,35.7,117.9,Snack
soursop,149,37.9,2.3,0.7,24.0,7.4,0.1,Breakfast
papaya,62,15.7,0.7,0.4,4.0,2.5,0.1,Breakfast
acerola cherry,2,0.4,0.079,0.052,88.0,0.077,0.074,Lunch
ohelo berries,39,9.6,0.5,0.3,68.0,0.0,0.0,Dinner
loganberries,81,19.1,2.2,0.5,60.0,7.8,0.053,Breakfast
casaba melon,48,11.2,1.9,0.2,57.0,1.5,0.012,Lunch
durian,51,9.5,0.5,1.9,79.0,1.3,0.0,Lunch
coriander leaves raw,4,0.6,0.3,0.086,5.0,0.4,0.044,Dinner
garden cress raw,3,0.5,0.2,0.062,79.0,0.063,0.052,Snack
pasilla peppers dried,24,3.6,0.9,1.1,63.0,1.9,0.0,Breakfast
parsley dried,1,0.3,0.1,0.096,58.0,0.1,0.064,Dinner
ancho pepper dried,48,8.7,2.0,1.4,68.0,3.7,0.1,Breakfast
coriander seeds,5,1.0,0.2,0.3,95.0,0.8,0.049,Lunch
dill weed dried,253,55.8,20.0,4.4,200.0,13.6,0.2,Lunch
borage,19,2.7,1.6,0.6,23.0,0.0,0.2,Snack
epazote,0,0.094,0.059,0.06,21.0,0.051,0.0,Lunch
chives dried,1,0.1,0.013,0.055,40.0,0.041,0.051,Lunch
thyme fresh,1,0.2,0.091,0.068,17.0,0.1,0.07,Dinner
butterbur,4,0.5,0.1,0.2,53.0,0.0,0.0,Breakfast
wasabi root,142,30.6,6.2,0.8,20.0,10.1,0.0,Breakfast
rosemary dried,4,0.8,0.081,0.2,48.0,0.5,0.083,Dinner
ginger root,2,0.4,0.068,0.028,0.0,0.058,0.048,Snack
white pepper,7,1.6,0.2,0.0,75.0,0.6,0.002,Breakfast
cloves ground,6,1.4,0.1,0.3,0.0,0.7,0.017,Lunch
paprika,19,3.7,1.0,0.9,61.0,2.4,0.1,Breakfast
mace ground,25,2.7,0.4,1.7,97.0,1.1,0.5,Lunch
bay leaf,2,0.4,0.086,0.042,84.0,0.2,0.08,Snack
eppaw,150,31.7,4.6,1.8,15.0,0.0,0.0,Dinner
tarragon dried,2,0.3,0.1,0.047,12.0,0.038,0.01,Breakfast
ginger ground,6,1.3,0.2,0.043,38.0,0.3,0.088,Dinner
savory ground,4,1.0,0.074,0.029,55.0,0.6,0.085,Breakfast
black pepper,6,1.5,0.2,0.006,36.0,0.6,0.034,Lunch
spearmint fresh,3,0.5,0.2,0.089,92.0,0.4,0.049,Dinner
poultry seasoning,14,2.9,0.4,0.3,63.0,0.5,0.1,Breakfast
nutmeg ground,12,1.1,0.1,0.8,95.0,0.5,0.6,Lunch
curry powder,20,3.7,0.8,0.9,4.0,2.1,0.1,Dinner
peppermint,1,0.2,0.038,0.004,7.0,0.1,0.016,Dinner
salt,0,0.0,0.0,0.0,7000.0,0.0,0.0,Breakfast
coriander leaves dried,2,0.3,0.1,0.098,18.0,0.095,0.099,Breakfast
sage ground,2,0.4,0.058,0.046,83.0,0.3,0.07,Breakfast
garlic powder,10,2.3,0.5,0.029,82.0,0.3,0.003,Lunch
dill weed fresh,4,0.6,0.3,0.063,17.0,0.2,0.064,Breakfast
cardamom,6,1.4,0.2,0.1,13.0,0.6,0.065,Dinner
saffron,2,0.5,0.071,0.092,63.0,0.002,0.047,Dinner
allspice ground,5,1.4,0.1,0.2,1.0,0.4,0.034,Breakfast
parsley fresh,1,0.2,0.1,0.078,56.0,0.1,0.016,Breakfast
oregano dried,265,68.9,9.0,4.3,9.0,42.5,1.6,Snack
marjoram dried,5,1.0,0.2,0.1,4.0,0.7,0.056,Dinner
chives raw,1,0.1,0.03,0.088,99.0,0.044,0.083,Lunch
fireweed leaves,24,4.4,1.1,0.6,35.0,2.4,0.0,Snack
rosemary fresh,1,0.1,0.005,0.1,39.0,0.012,0.016,Breakfast
garlic,4,0.9,0.2,0.026,18.0,0.064,0.033,Breakfast
