Food_Name,Calories_kcal,Carbs_g,Protein_g,Fat_g,Sodium_mg,Fiber_g,Saturated_Fat_g,Meal_Type
blueberry pancakes,84,11.0,2.3,3.5,200.0,0.0,0.8,Breakfast
chimichanga with beef cheese,443,39.3,20.1,23.4,1000.0,0.0,11.2,Lunch
egg cheese sandwich,340,25.9,15.6,19.4,800.0,0.0,6.6,Snack
biscuit with egg bacon,458,28.6,17.0,31.1,1300.0,0.8,8.0,Breakfast
pupusas con queso,300,26.2,13.7,15.5,500.0,3.4,7.6,Snack
apple croissant,145,21.1,4.2,5.0,200.0,1.4,2.8,Breakfast
refried red beans,336,36.0,11.7,16.1,900.0,11.0,2.2,Lunch
tostada with guacamole,180,16.0,6.2,11.6,400.0,0.0,4.9,Dinner
chicken sandwich,468,39.1,30.4,20.9,1400.0,2.6,4.0,Breakfast
fried rice,228,43.4,6.5,3.2,600.0,1.5,0.7,Snack
pupusas del cerdo,283,28.1,14.0,12.7,500.0,3.2,3.9,Lunch
turkey pot pie,699,70.3,25.8,34.9,1400.0,4.4,11.4,Breakfast
cheese croissant,331,37.6,7.4,16.7,300.0,2.1,8.5,Snack
chimichanga with beef,425,42.8,19.6,19.7,900.0,0.0,8.5,Snack
french toast with butter,178,18.0,5.2,9.4,300.0,0.0,3.9,Snack
ham egg cheese sandwich,347,30.9,19.2,16.3,1000.0,0.0,7.4,Breakfast
english muffin with butter,189,30.4,4.9,5.8,400.0,0.0,2.4,Breakfast
savoury noodle one pan dinner tandaco,172,5.5,0.0,1.2,0.0,0.0,0.5,Breakfast
ham cheese sandwich,352,33.3,20.7,15.5,800.0,0.0,6.4,Dinner
sweet gefilte fish,35,3.1,3.8,0.7,200.0,0.0,0.2,Breakfast
poached egg,72,0.4,6.3,4.7,100.0,0.0,1.6,Breakfast
tostada with beef cheese,315,22.8,19.0,16.3,900.0,0.0,10.4,Breakfast
tostada with beans cheese,223,26.5,9.6,9.9,500.0,0.0,5.4,Dinner
pork tamale,247,22.4,10.4,12.8,700.0,3.4,3.8,Breakfast
nachos with cheese,274,27.9,3.5,17.2,300.0,2.6,1.7,Snack
pulled pork in barbecue sauce,418,46.7,32.8,11.0,1700.0,3.0,3.5,Breakfast
baked potato with cheese sauce,474,46.5,14.6,28.7,400.0,0.0,10.6,Snack
baked beans,310,43.3,11.1,10.3,800.0,11.0,3.9,Snack
arroz con frijoles,220,35.6,6.8,5.6,600.0,5.0,1.1,Snack
taco with beef cheese lettuce,156,13.7,6.1,8.8,300.0,2.7,3.0,Dinner
burrito with beans cheese beef,165,19.8,7.3,6.6,500.0,0.0,3.6,Dinner
egg mix,30,0.098,2.4,2.2,12.0,0.0,0.8,Dinner
falafel,57,5.4,2.3,3.0,81.0,0.0,0.4,Breakfast
taco salad with chili con carne,193,17.7,11.6,8.8,600.0,0.0,4.0,Snack
wonton wrappers,93,18.5,3.1,0.5,200.0,0.6,0.022,Dinner
hushpuppies,512,69.9,11.7,20.5,1000.0,4.3,3.2,Dinner
chicken pot pie,598,57.3,14.6,34.6,1200.0,3.0,12.6,Breakfast
general tsos chicken,1578,128.3,69.0,87.5,2300.0,4.8,14.8,Dinner
burrito with beans cheese,379,57.8,13.6,11.2,1000.0,7.8,4.3,Breakfast
vegetarian fillets,247,7.7,19.6,15.3,400.0,5.2,2.4,Lunch
biscuit with egg sausage,505,34.1,18.0,33.6,1100.0,0.3,10.4,Dinner
chicken chow mein,513,50.1,40.8,16.9,1900.0,6.0,3.0,Lunch
fruit burrito,231,35.0,2.5,9.5,200.0,0.0,4.6,Breakfast
arroz con leche,369,63.0,8.1,9.3,300.0,1.3,4.8,Snack
caramel custard flan,444,69.7,13.9,12.3,200.0,0.0,5.5,Dinner
gelatin dessert,167,38.3,3.3,0.0,200.0,0.0,0.0,Breakfast
chocolate milk dessert,229,51.6,5.9,1.4,100.0,0.0,0.8,Snack
chocolate mousse,338,24.1,6.2,24.0,81.0,0.9,13.7,Snack
dulce de leche,60,10.5,1.3,1.4,36.0,0.0,0.9,Lunch
apple crisp,454,87.0,4.9,9.7,1000.0,3.9,1.9,Breakfast
spinach spaghetti cooked,182,36.6,6.4,0.9,61.0,0.0,0.1,Snack
corn pasta cooked,176,39.1,3.7,1.0,0.0,6.7,0.1,Dinner
spaghetti with meat sauce,255,43.1,14.3,2.9,700.0,5.1,1.0,Dinner
pasta with meatballs in tomato sauce,273,28.3,10.6,13.0,700.0,6.9,5.0,Lunch
cheese tortellini,332,50.8,14.6,7.8,400.0,2.1,3.9,Snack
pasta with sliced franks in tomato sauce,227,32.0,11.0,6.0,700.0,4.0,2.5,Breakfast
lasagna,166,18.9,9.0,6.1,500.0,2.1,2.9,Dinner
macaroni cheese,310,43.7,12.6,9.4,900.0,2.3,3.1,Snack
